2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Palace with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Palace with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Peninsula with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Peninsula with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Lighthouse with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Lighthouse with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#MainStation with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#MainStation with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#SportVenue with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#SportVenue with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Stadium with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Stadium with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Park with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Park with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#GolfCourse with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#GolfCourse with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Glacier with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Glacier with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Monastery with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Monastery with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Cape with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Cape with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Monument with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Monument with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Harbour with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Harbour with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#River with list
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#River with geometry
2015-07-20 15:56:20 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Continent with list
